doc_id,content,links
d01,"Neural information retrieval represents queries and documents as learned vectors. Dense retrieval improves semantic matching when users use vocabulary different from the corpus. A hybrid system combines lexical BM25 signals with neural similarity and careful evaluation.",d17|d04|d10
d02,"BM25 is a strong lexical baseline for product and web search. Its term frequency saturation and document length normalization make ranking robust. Tune k1 and b against judged queries before deploying a search service.",d10|d16|d04
d03,"A responsible web crawler respects robots rules, rate limits, copyright and privacy. It begins from approved seed URLs, keeps a visited URL set, normalizes canonical URLs and records fetch time and content type.",d15|d07|d18
d04,"Search evaluation compares a ranked result list with relevance judgments. Precision measures result quality, recall measures coverage, MRR rewards the first useful result, and NDCG accounts for relevance position.",d16|d02|d10
d05,"Content based recommendation creates a profile from item text, tags and metadata. It recommends documents similar to a selected document and is useful when user interaction history is unavailable.",d14|d12|d06
d06,"Collaborative filtering recommends items from patterns of user interactions. Matrix based or neighbour approaches can discover surprising items, but sparse feedback and cold start users reduce reliability.",d14|d05
d07,"Duplicate documents waste storage and distort retrieval evaluation. Exact hashes identify copies while character shingles and Jaccard similarity identify near duplicates. Keep a canonical document and redirect duplicates.",d03|d18|d16
d08,"PageRank estimates document importance from incoming links. A document linked by important pages receives more authority. Search ranking can blend PageRank with lexical relevance instead of using either signal alone.",d09|d02|d04
d09,"HITS separates hub and authority scores in a focused link graph. Good hubs point to useful authorities and good authorities receive links from hubs. HITS can complement PageRank for topic specific search.",d08|d04
d10,"Pseudo relevance feedback expands a short query with frequent terms from top ranked documents. Expansion can improve recall, but unrelated early results may cause query drift. Use conservative weights and inspect results.",d02|d04|d17
d11,"Text preprocessing converts raw documents into dependable features. Lowercasing, tokenization, stopword removal and stemming change the vocabulary and rankings. Compare configurations using both corpus statistics and search metrics.",d12|d16|d01
d12,"TF IDF keyword extraction emphasizes words that occur often in one document but rarely across the collection. It supports document profiling, explainable retrieval and related document recommendation.",d11|d05|d02
d13,"A Streamlit dashboard can make an information retrieval workflow accessible without exposing notebooks. Clear controls, tables, charts and reproducible settings allow users to crawl, index, search, recommend and evaluate from one interface.",d04|d11|d02
d14,"Hybrid recommenders combine content similarity with collaborative signals. The content component handles new documents while interaction patterns add diversity. A weighted hybrid is suitable for a news discovery application.",d05|d06|d17
d15,"The crawl frontier stores URLs waiting to be fetched. Breadth first depth limits, host filters, delay policies and duplicate URL normalization control scope. Metadata should be stored separately from extracted document text.",d03|d18|d07
d16,"Precision and recall reveal different retrieval behaviour. Increasing a result cutoff may improve recall while lowering precision. F1 balances the two, and Precision at K is useful for users who inspect only the first page.",d04|d02|d11
d17,"Semantic search uses dense embeddings to retrieve documents by meaning rather than exact words. It is effective for paraphrases but can be expensive and less transparent. Hybrid retrieval preserves lexical precision.",d01|d10|d14
d18,"A document collection benefits from a separate metadata table containing title, URL, author, source, category and date. Separating content helps indexing, filtering, data governance and efficient updates.",d07|d15|d13

